vars_to_keep
M2ID
C1PRAGE
C1PRSEX
C4H1A
C4H1B
C4H1C
C4H1D
C4H1E
C4H1F
C4H1G
C4H1H
C4H1I
C4H1J
C4H1K
C4H1L
C4H1N
C4H1O
C4H1P
C4H1Q
C4H1R
C4H1S
C4H1T
C4H1V
C4H1ZSC
C4H1ZD
C4H1AASC
C4H1AAD
MIDUS2
B1PAGE_M2
B1PRSEX
B4H1A
B4H1AD
B4H1B
B4H1BD
B4H1C
B4H1CD
B4H1D
B4H1DD
B4H1E
B4H1ED
B4H1F
B4H1FD
B4H1G
B4H1GD
B4H1H
B4H1HD
B4H1I
B4H1ID
B4H1J
B4H1JD
B4H1K
B4H1KD
B4H1L
B4H1LD
B4H1N
B4H1ND
B4H1O
B4H1OD
B4H1P
B4H1PD
B4H1Q
B4H1QD
B4H1R
B4H1RD
B4H1S
B4H1SD
B4H1T
B4H1TD
B4H1V
B4H1VD
B4H1X
B4H1XD
B4H1Y
B4H1YD
MIDUS3
